StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced
52,8.2,1,3,0,65,4.1,Yes,No,66,65,NotPlaced
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,Placed
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced
55,6.5,0,2,1,72,4.5,No,No,57,69,NotPlaced
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,Placed
57,8,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,Placed
59,8,1,1,0,86,4.2,No,No,55,83,NotPlaced
60,6.6,0,1,0,76,3.9,No,Yes,78,69,Placed
61,7.7,2,2,0,86,4,Yes,Yes,79,64,NotPlaced
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,Placed
63,7.2,1,2,0,74,4.1,No,No,70,65,NotPlaced
64,6.6,1,2,1,72,4.1,No,No,55,75,NotPlaced
65,7.6,1,2,0,77,4.6,Yes,No,84,67,NotPlaced
66,8,0,3,0,68,4.2,Yes,No,64,83,Placed
67,7.8,2,3,2,87,4.8,Yes,No,90,83,NotPlaced
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced
69,7.7,1,1,0,74,4.1,No,Yes,57,68,Placed
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced
71,7.5,1,1,1,69,4.3,No,Yes,71,76,NotPlaced
72,6.7,0,2,1,79,4.1,No,No,78,67,NotPlaced
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,Placed
74,7.5,1,2,0,73,4.4,No,No,66,84,NotPlaced
75,7.4,2,1,0,75,4.2,No,Yes,65,84,NotPlaced
76,6.5,1,1,0,63,4.5,No,Yes,57,68,NotPlaced
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,Placed
78,6.9,1,1,0,83,3.5,No,Yes,61,71,NotPlaced
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,Placed
80,7.6,1,2,1,72,3.9,No,Yes,58,66,NotPlaced
81,6.6,1,1,1,69,3.6,No,Yes,55,72,NotPlaced
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,Placed
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,Placed
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,Placed
86,6.7,1,3,0,87,4.6,Yes,No,81,69,NotPlaced
87,8.1,0,2,1,84,3.8,No,No,71,68,NotPlaced
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,Placed
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,Placed
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced
92,7.1,1,1,0,70,3.3,No,No,55,66,NotPlaced
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,Placed
94,7.4,1,3,0,83,4.2,No,Yes,65,82,NotPlaced
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced
96,7.5,0,1,1,75,3.3,No,Yes,61,73,NotPlaced
97,7.5,1,1,0,64,4,No,No,73,66,NotPlaced
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed
111,8,1,1,3,84,4,No,Yes,57,61,NotPlaced
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed
122,8,1,1,1,68,4.2,No,Yes,59,66,NotPlaced
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced
126,7.7,1,2,0,73,4,No,Yes,65,75,Placed
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed
131,8,1,3,0,80,4.4,Yes,Yes,85,84,Placed
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced
135,8,0,1,0,60,4,No,No,57,70,NotPlaced
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed
149,8,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced
150,7.9,2,1,0,83,4,Yes,Yes,63,70,NotPlaced
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed
158,8,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced
159,7.8,0,1,1,72,4,No,No,61,69,NotPlaced
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced
162,7.9,1,2,1,81,4,Yes,Yes,60,71,NotPlaced
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced
170,8,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced
174,8,1,1,1,78,4.4,No,No,66,68,NotPlaced
175,8,2,3,2,90,4.8,Yes,Yes,78,86,Placed
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced
190,6.8,1,1,0,78,4.3,No,No,61,62,NotPlaced
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced
222,8,2,3,2,86,4.8,Yes,Yes,62,83,Placed
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced
224,7.9,2,3,2,90,4.8,Yes,No,81,78,NotPlaced
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced
227,8,2,2,2,87,3.8,Yes,Yes,79,78,Placed
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced
236,8.2,2,3,1,69,4,Yes,Yes,77,82,NotPlaced
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed
264,6.5,1,3,0,80,3.7,No,No,59,66,NotPlaced
265,7.4,1,1,0,88,4.5,No,Yes,76,71,Placed
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed
267,6.8,2,2,2,80,4.6,No,Yes,61,69,NotPlaced
268,8,1,2,1,76,4.5,No,Yes,68,75,NotPlaced
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed
270,6.6,1,2,1,65,4.1,No,No,56,58,NotPlaced
271,8.4,1,2,0,79,3.8,No,Yes,60,64,NotPlaced
272,7.8,1,1,1,79,3.7,No,Yes,56,59,NotPlaced
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced
274,6.8,1,1,0,73,3.7,No,Yes,55,65,NotPlaced
275,7.3,1,2,1,71,4.7,No,No,59,57,NotPlaced
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced
278,7.3,1,2,1,79,3.8,No,Yes,58,73,NotPlaced
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed
281,8.3,2,3,1,90,4.8,Yes,No,55,80,Placed
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced
283,8.2,1,1,2,86,4.4,No,No,76,82,NotPlaced
284,8.5,0,2,0,81,3.2,No,Yes,55,63,NotPlaced
285,8,0,1,1,87,3.8,No,Yes,55,71,NotPlaced
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced
287,7.7,1,1,2,82,4.4,No,No,55,70,NotPlaced
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced
290,8.5,0,2,2,75,4.5,Yes,No,76,83,Placed
291,8.8,1,2,2,90,4.8,Yes,No,75,88,Placed
292,6.5,2,3,1,82,4.6,Yes,No,83,63,NotPlaced
293,7.5,0,1,1,80,4.2,Yes,No,84,64,NotPlaced
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced
295,7.7,0,1,0,79,4.8,No,Yes,58,71,NotPlaced
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed
297,7.5,0,2,0,69,3.6,No,No,61,59,NotPlaced
298,6.8,1,1,0,68,4.3,No,Yes,65,69,NotPlaced
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced
300,8.4,2,3,3,82,4.5,Yes,No,82,85,Placed
301,7.5,1,1,0,67,3.4,No,No,65,71,NotPlaced
302,8.1,1,3,0,70,4.8,Yes,No,71,72,NotPlaced
303,7.4,1,1,1,64,4,No,No,55,62,NotPlaced
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed
306,8,1,2,1,80,4.3,No,Yes,71,61,NotPlaced
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed
308,6.8,0,1,0,77,3.3,No,No,64,69,NotPlaced
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed
310,7.4,1,2,1,75,4.3,No,Yes,55,85,NotPlaced
311,7.6,1,1,0,66,4.1,No,Yes,62,73,NotPlaced
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed
314,8.2,1,3,2,90,4.3,No,Yes,77,82,Placed
315,6.5,1,1,0,79,3.6,No,Yes,55,64,NotPlaced
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed
317,7.5,1,2,1,85,4.1,No,Yes,71,84,NotPlaced
318,6.6,0,1,1,67,4.3,No,Yes,56,65,NotPlaced
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced
321,7.5,0,2,1,66,4.5,No,Yes,61,71,Placed
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed
323,7.9,2,1,0,71,4.8,No,Yes,56,66,NotPlaced
324,8.2,0,2,0,85,4.1,Yes,No,57,70,NotPlaced
325,7.2,1,2,0,69,4,No,Yes,55,61,NotPlaced
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed
327,6.5,1,1,1,78,3.9,No,Yes,67,73,Placed
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed
330,7.7,1,1,0,80,4,No,Yes,55,66,NotPlaced
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced
333,7.4,2,3,0,86,4.6,Yes,Yes,75,72,Placed
334,8.6,1,3,2,81,4.8,Yes,Yes,71,82,Placed
335,8,1,2,1,88,3.6,No,Yes,69,69,NotPlaced
336,7.8,1,3,1,89,4.6,Yes,Yes,73,79,Placed
337,8.1,1,3,2,90,4.7,Yes,No,72,87,Placed
338,7.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced
339,8.4,2,3,2,87,4.8,Yes,Yes,78,88,Placed
340,8.4,0,3,2,85,4.6,Yes,Yes,90,79,NotPlaced
341,8.3,0,3,1,88,4.7,Yes,Yes,69,80,NotPlaced
342,7.2,0,2,1,66,3.9,No,No,67,69,NotPlaced
343,8.6,2,3,2,90,4.8,Yes,Yes,77,86,Placed
344,7.9,2,1,0,73,4.2,No,No,56,71,NotPlaced
345,6.6,1,1,2,81,4.8,Yes,No,68,71,NotPlaced
346,7.1,1,1,1,63,3.6,No,Yes,58,68,NotPlaced
347,7.8,0,3,0,90,4.7,Yes,Yes,72,69,Placed
348,6.6,1,1,1,81,4,No,No,73,72,NotPlaced
349,6.5,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced
350,7.5,2,1,0,83,4.6,Yes,No,58,81,NotPlaced
351,7.5,1,2,0,70,3.7,No,Yes,55,66,NotPlaced
352,7.8,0,2,2,74,4.6,Yes,Yes,58,60,NotPlaced
353,6.6,1,2,0,71,4,No,No,55,68,Placed
354,7.4,1,2,0,72,4.3,No,Yes,55,62,NotPlaced
355,7.8,1,3,2,77,4.2,Yes,No,77,82,NotPlaced
356,8.2,2,3,2,90,4.8,Yes,Yes,89,84,Placed
357,8.9,2,3,2,89,4.6,Yes,Yes,71,83,Placed
358,8.2,1,2,1,90,4.8,Yes,Yes,78,71,Placed
359,7.5,1,3,0,70,4.2,No,Yes,60,68,NotPlaced
360,7.7,1,2,0,68,3.9,No,Yes,62,63,NotPlaced
361,8.7,1,3,2,90,4.7,Yes,Yes,81,80,Placed
362,7.5,1,1,1,65,4.4,No,Yes,55,60,NotPlaced
363,6.6,1,1,1,82,3.7,No,Yes,55,60,Placed
364,7.4,2,3,1,84,4.8,No,Yes,77,68,Placed
365,7.5,0,3,2,90,4.8,Yes,Yes,82,81,Placed
366,8.2,1,1,1,79,4.6,No,Yes,55,61,NotPlaced
367,8.7,1,2,0,84,4.4,Yes,Yes,65,88,Placed
368,8,2,3,1,87,4.2,Yes,Yes,75,81,Placed
369,8.4,2,2,0,76,4.4,Yes,Yes,77,73,Placed
370,8,2,2,2,81,4.5,No,No,69,71,NotPlaced
371,7.5,1,2,2,70,4.7,Yes,Yes,55,70,NotPlaced
372,6.5,1,3,2,90,4,Yes,No,85,65,Placed
373,7.8,0,3,2,73,4.6,Yes,No,82,85,NotPlaced
374,7.6,1,2,0,64,4.5,No,Yes,62,63,NotPlaced
375,8.7,0,3,0,75,3.7,Yes,Yes,62,74,NotPlaced
376,7.2,1,1,0,85,3.5,No,Yes,84,70,NotPlaced
377,8.1,1,3,2,90,4.7,Yes,Yes,70,85,Placed
378,7.4,1,2,0,77,4.1,Yes,Yes,55,77,NotPlaced
379,8.2,2,2,2,81,4.8,Yes,Yes,78,83,Placed
380,8.2,2,1,2,90,4.8,Yes,Yes,79,68,Placed
381,6.5,1,2,1,65,4,Yes,Yes,66,69,NotPlaced
382,7.4,0,2,1,73,3.8,No,No,58,70,NotPlaced
383,7.3,0,1,1,80,3.6,No,Yes,62,65,NotPlaced
384,8.7,0,1,1,87,4.1,No,No,72,63,NotPlaced
385,8.5,2,1,3,82,3.6,Yes,Yes,67,81,NotPlaced
386,8.5,1,3,2,74,4.1,No,Yes,76,68,Placed
387,7.9,1,2,1,76,4.1,Yes,Yes,57,66,NotPlaced
388,7.4,2,3,0,71,4.8,Yes,Yes,86,73,NotPlaced
389,6.7,1,2,0,86,4.4,No,No,76,73,Placed
390,8.3,2,3,2,82,4.8,Yes,Yes,57,73,Placed
391,7.6,1,1,0,76,4.3,No,Yes,66,69,NotPlaced
392,7.5,1,2,0,90,4.2,No,Yes,77,64,Placed
393,8.9,0,3,0,89,4.8,Yes,No,77,78,Placed
394,7.3,1,1,0,79,4.1,Yes,No,57,64,NotPlaced
395,8.6,1,2,0,86,4.8,Yes,Yes,69,77,Placed
396,8.2,2,3,2,90,4.8,Yes,Yes,81,84,Placed
397,7.7,1,1,1,73,4.6,No,No,58,72,NotPlaced
398,7.9,1,3,0,88,4.7,Yes,Yes,87,85,Placed
399,7.4,1,1,1,87,4.6,No,Yes,68,65,NotPlaced
400,6.9,0,1,0,90,4.5,Yes,Yes,81,80,Placed
401,8,1,3,2,90,4.8,Yes,Yes,81,86,Placed
402,7.1,1,3,0,81,4.4,Yes,Yes,78,72,NotPlaced
403,6.9,0,1,1,76,3.8,No,No,61,67,NotPlaced
404,8.5,2,3,2,90,4.8,Yes,Yes,80,84,Placed
405,6.9,0,1,2,76,4.8,Yes,No,78,82,Placed
